#thit	thr	eventID	hit#	channel	edge	error	coarse	fine	time
460	-36	607	7	0	1	0	544	9	13607.031250ns
461	-36	607	8	0	1	0	547	9	13682.031250ns
462	-36	608	0	0	1	0	507	4	12678.125000ns
463	-36	608	1	0	1	0	513	0	12825.000000ns
464	-36	608	2	0	1	0	597	10	14932.812500ns
465	-36	608	3	0	1	0	600	1	15000.781250ns
466	-36	608	4	0	1	0	603	17	15088.281250ns
467	-36	608	5	0	1	0	606	20	15165.625000ns
468	-36	608	6	0	1	0	609	15	15236.718750ns
469	-36	609	0	0	1	0	467	24	11693.750000ns
470	-36	609	1	0	1	0	474	4	11853.125000ns
471	-36	609	2	0	1	0	557	2	13926.562500ns
472	-36	609	3	0	1	0	563	16	14087.500000ns
473	-36	611	0	0	1	0	464	27	11621.093750ns
474	-36	611	1	0	1	0	471	6	11779.687500ns
475	-36	611	2	0	1	0	481	5	12028.906250ns
476	-36	611	3	0	1	0	557	14	13935.937500ns
477	-36	611	4	0	1	0	560	18	14014.062500ns
478	-36	611	5	0	1	0	567	4	14178.125000ns
479	-36	614	0	0	1	0	445	30	11148.437500ns
480	-36	614	1	0	1	0	452	18	11314.062500ns
481	-36	614	2	0	1	0	456	5	11403.906250ns
482	-36	614	3	0	1	0	534	3	13352.343750ns
483	-36	614	4	0	1	0	540	21	13516.406250ns
484	-36	614	5	0	1	0	543	29	13597.656250ns
485	-36	616	0	0	1	0	503	4	12578.125000ns
486	-36	616	1	0	1	0	509	18	12739.062500ns
487	-36	616	2	0	1	0	512	23	12817.968750ns
488	-36	616	3	0	1	0	599	2	14976.562500ns
489	-36	616	4	0	1	0	602	11	15058.593750ns
490	-36	616	5	0	1	0	611	30	15298.437500ns
491	-36	617	0	0	1	0	428	16	10712.500000ns
492	-36	617	1	0	1	0	434	20	10865.625000ns
493	-36	617	2	0	1	0	444	7	11105.468750ns
494	-36	617	3	0	1	0	517	11	12933.593750ns
495	-36	617	4	0	1	0	527	2	13176.562500ns
496	-36	617	5	0	1	0	530	2	13251.562500ns
497	-36	619	0	0	1	0	438	18	10964.062500ns
498	-36	619	1	0	1	0	527	9	13182.031250ns
499	-36	619	2	0	1	0	534	5	13353.906250ns
500	-36	620	0	0	1	0	26	4	653.125000ns
501	-36	620	1	0	1	0	32	21	816.406250ns
502	-36	621	0	0	1	0	490	31	12274.218750ns
503	-36	621	1	0	1	0	500	29	12522.656250ns
504	-36	621	2	0	1	0	503	21	12591.406250ns
505	-36	621	3	0	1	0	586	22	14667.187500ns
506	-36	622	0	0	1	0	437	10	10932.812500ns
507	-36	622	1	0	1	0	442	31	11074.218750ns
508	-36	622	2	0	1	0	452	26	11320.312500ns
509	-36	622	3	0	1	0	532	14	13310.937500ns
510	-36	622	4	0	1	0	536	1	13400.781250ns
511	-36	622	5	0	1	0	538	28	13471.875000ns
